,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
Output_0,0,0.1052861213684082,0.008957239315556738,0.05151534080505371,0.009967204593308139,0.1,0.01,0.01,rbf,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",-0.0052547390133382745,-0.006478880800893343,-0.006413227016761906,-0.005525708622296752,-0.006852381208415461,-0.006104987332341147,0.000608587161012964,17
Output_0,1,0.09373154640197753,0.005102010073267182,0.04215221405029297,0.009183689267635258,0.1,0.01,0.1,rbf,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",-0.0009189192928287818,-0.0010835794683369542,-0.0010873716789150613,-0.0010310554906997652,-0.0010894154980371643,-0.0010420682857635454,6.527524850313494e-05,7
Output_0,2,0.032672786712646486,0.0027754638013034023,0.0146697998046875,0.005477378283673143,0.1,0.01,1,rbf,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 1, 'kernel': 'rbf'}",-7.266854159153884e-05,-7.858159892359072e-05,-6.615259241231624e-05,-7.336149860043992e-05,-7.219277281638612e-05,-7.259140086885437e-05,3.952179970761915e-06,5
Output_0,3,0.048004770278930665,0.0020549026913030365,0.022296810150146486,0.007356729936242373,0.1,0.1,0.01,rbf,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.010570249585444147,-0.012223485376193192,-0.012104521346062973,-0.01025386658620119,-0.013004386117309369,-0.011631301802242176,0.0010471999082655415,18
Output_0,4,0.015540695190429688,0.004419136806281175,0.003391265869140625,0.0027929034875245015,0.1,0.1,0.1,rbf,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.0037682739274875034,-0.003917453842197606,-0.004071984186475454,-0.0034873428188394256,-0.004143823926752047,-0.0038777757403504073,0.00023430809760653442,15
Output_0,5,0.0007977008819580079,0.0009769800669917564,0.0005255699157714844,0.0006740283170627404,0.1,0.1,1,rbf,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}",-0.0021905949534851863,-0.0024174504701607786,-0.002366106172495665,-0.002125739858667874,-0.002471739292600623,-0.0023143261494820255,0.00013339332207503598,14
Output_0,6,0.003001499176025391,0.006002998352050782,0.0,0.0,0.1,1,0.01,rbf,"{'C': 0.1, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.04612454783741657,-0.04955894769385513,-0.049912281823652066,-0.04398064798394346,-0.05139882418140987,-0.04819504990405542,0.0027247544703748734,19
Output_0,7,0.0,0.0,0.0,0.0,0.1,1,0.1,rbf,"{'C': 0.1, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.04612454783741657,-0.04955894769385513,-0.049912281823652066,-0.04398064798394346,-0.05139882418140987,-0.04819504990405542,0.0027247544703748734,19
Output_0,8,0.0,0.0,0.0,0.0,0.1,1,1,rbf,"{'C': 0.1, 'epsilon': 1, 'gamma': 1, 'kernel': 'rbf'}",-0.04612454783741657,-0.04955894769385513,-0.049912281823652066,-0.04398064798394346,-0.05139882418140987,-0.04819504990405542,0.0027247544703748734,19
Output_0,9,0.0031313419342041014,0.006262683868408203,0.0,0.0,0.1,10,0.01,rbf,"{'C': 0.1, 'epsilon': 10, 'gamma': 0.01, 'kernel': 'rbf'}",-0.046124547837416555,-0.04955894769385514,-0.049912281823652066,-0.043980647983943466,-0.05139882418140987,-0.04819504990405542,0.002724754470374874,19
