,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
Output_0,0,6.0358789443969725,0.6241615452834381,0.07033810615539551,0.006307687646709056,40,1e-05,4,rbf,"{'C': 40, 'epsilon': 1e-05, 'gamma': 4, 'kernel': 'rbf'}",-9.820112146766653e-08,-5.972046648124167e-08,-6.535903717088184e-08,-6.491821129889087e-08,-4.7537971495082756e-08,-6.714736158275274e-08,1.6805892827453556e-08,53
Output_0,1,6.121640872955322,0.3901624719461751,0.07189884185791015,0.004723956962020283,40,1e-05,6,rbf,"{'C': 40, 'epsilon': 1e-05, 'gamma': 6, 'kernel': 'rbf'}",-7.434753503238133e-08,-4.827539667764831e-08,-6.457873266720929e-08,-4.187569554604491e-08,-5.3815090992004335e-08,-5.657849018305763e-08,1.1597350918631003e-08,33
Output_0,2,8.902732944488525,1.6985050099461492,0.08168907165527343,0.01964858396325078,40,1e-05,8,rbf,"{'C': 40, 'epsilon': 1e-05, 'gamma': 8, 'kernel': 'rbf'}",-8.647510425005039e-08,-4.937786227842606e-08,-5.5974961243932275e-08,-5.5519501317160224e-08,-4.4723303256058566e-08,-5.84141464691255e-08,1.463447687183462e-08,37
Output_0,3,7.546223926544189,0.583550127514064,0.0754537582397461,0.008001768416316132,40,1e-05,10,rbf,"{'C': 40, 'epsilon': 1e-05, 'gamma': 10, 'kernel': 'rbf'}",-8.847777665563177e-08,-4.798804492144055e-08,-6.01892121482944e-08,-5.657863713014801e-08,-5.6347706686239096e-08,-6.191627550835077e-08,1.387076811508186e-08,45
Output_0,4,6.213661479949951,1.6704610132647935,0.07152771949768066,0.012618224257256304,40,3e-05,4,rbf,"{'C': 40, 'epsilon': 3e-05, 'gamma': 4, 'kernel': 'rbf'}",-1.1536850782284865e-07,-6.940797605844813e-08,-6.018567667290024e-08,-7.047531633607269e-08,-5.1897119109673495e-08,-7.346691919998865e-08,2.2012794076357235e-08,61
Output_0,5,7.57335410118103,1.6244875476270197,0.0960935115814209,0.0359489402769299,40,3e-05,6,rbf,"{'C': 40, 'epsilon': 3e-05, 'gamma': 6, 'kernel': 'rbf'}",-8.711110929363926e-08,-5.644620072551492e-08,-5.9253183158329e-08,-5.144625358594794e-08,-4.304856861645208e-08,-5.946106307597664e-08,1.4881295712649826e-08,43
Output_0,6,7.764491415023803,1.0167482329921738,0.07912464141845703,0.015503431503407888,40,3e-05,8,rbf,"{'C': 40, 'epsilon': 3e-05, 'gamma': 8, 'kernel': 'rbf'}",-1.0811636544791366e-07,-6.27423194454938e-08,-5.5688187073199594e-08,-6.071031802758803e-08,-4.4567229800184814e-08,-6.636488395887598e-08,2.180556295657084e-08,52
Output_0,7,6.917877817153931,0.8826533214003054,0.08700127601623535,0.025028892165568646,40,3e-05,10,rbf,"{'C': 40, 'epsilon': 3e-05, 'gamma': 10, 'kernel': 'rbf'}",-6.460282046821831e-08,-5.835778294414218e-08,-7.145905800507335e-08,-6.213221405946597e-08,-5.546923746147654e-08,-6.240422258767526e-08,5.502100657117559e-09,47
Output_0,8,5.480258512496948,1.2623397769388987,0.06754155158996582,0.02280662705535775,40,5e-05,4,rbf,"{'C': 40, 'epsilon': 5e-05, 'gamma': 4, 'kernel': 'rbf'}",-9.592864364560945e-08,-7.739073657086309e-08,-6.107172509485853e-08,-6.642944311720919e-08,-6.099088374853627e-08,-7.23622864354153e-08,1.3210925078991043e-08,59
Output_0,9,5.371053981781006,1.0762102722430005,0.052572774887084964,0.00458439556331753,40,5e-05,6,rbf,"{'C': 40, 'epsilon': 5e-05, 'gamma': 6, 'kernel': 'rbf'}",-7.404093961331886e-08,-5.500619088238214e-08,-6.813644371953957e-08,-5.229006407673425e-08,-4.598465915205465e-08,-5.90916594888059e-08,1.0392644607922203e-08,40
