,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
Output_0,0,0.3657177448272705,0.01620037087369985,0.03193254470825195,0.004227717474903436,10,0.001,1,rbf,"{'C': 10, 'epsilon': 0.001, 'gamma': 1, 'kernel': 'rbf'}",-1.2841722661101294e-06,-1.4991540826588325e-06,-1.5353277949383208e-06,-1.2320727938978703e-06,-1.2593835815325233e-06,-1.3620221038275354e-06,1.283137785526563e-07,20
Output_0,1,0.38945608139038085,0.04074832958317641,0.01664290428161621,0.0024110520113618432,10,0.001,2,rbf,"{'C': 10, 'epsilon': 0.001, 'gamma': 2, 'kernel': 'rbf'}",-8.030262310485926e-07,-7.352101988456218e-07,-6.858318821691985e-07,-6.466912137975765e-07,-6.05204488733772e-07,-6.951928029189523e-07,6.894543911444004e-08,16
Output_0,2,0.636293363571167,0.014586988477922329,0.018442630767822266,0.0010390281786662604,10,0.001,4,rbf,"{'C': 10, 'epsilon': 0.001, 'gamma': 4, 'kernel': 'rbf'}",-8.700455189049438e-07,-7.503014897005029e-07,-7.623757500087038e-07,-8.420793205839192e-07,-7.015600316811817e-07,-7.852724221758503e-07,6.191686308695213e-08,17
Output_0,3,0.7481996059417725,0.04501387549653455,0.02072749137878418,0.0025091725873961634,10,0.001,5,rbf,"{'C': 10, 'epsilon': 0.001, 'gamma': 5, 'kernel': 'rbf'}",-8.390201349774175e-07,-7.973174468963167e-07,-7.714688808206958e-07,-8.501494963347e-07,-7.163899175524284e-07,-7.948691753163117e-07,4.841029404222557e-08,18
Output_0,4,0.20004143714904785,0.009351948473794683,0.01815028190612793,0.0017150417613655275,10,0.0025,1,rbf,"{'C': 10, 'epsilon': 0.0025, 'gamma': 1, 'kernel': 'rbf'}",-4.132497933000264e-06,-5.299705571267238e-06,-4.802574804294954e-06,-4.220408324460542e-06,-4.5053803214528824e-06,-4.592113390895177e-06,4.247150459161832e-07,40
Output_0,5,0.18486528396606444,0.013418771772329061,0.009199953079223633,0.001125609392891095,10,0.0025,2,rbf,"{'C': 10, 'epsilon': 0.0025, 'gamma': 2, 'kernel': 'rbf'}",-2.7583271886791047e-06,-3.09956192498236e-06,-2.461813255255931e-06,-2.465863393899609e-06,-2.6000759362529836e-06,-2.6771283398139976e-06,2.3747586102178916e-07,36
Output_0,6,0.19829010963439941,0.018090635020211698,0.007380247116088867,0.001482907766414856,10,0.0025,4,rbf,"{'C': 10, 'epsilon': 0.0025, 'gamma': 4, 'kernel': 'rbf'}",-2.6237147118144913e-06,-2.2175548696456113e-06,-2.1196878459866338e-06,-2.2840934321812373e-06,-2.416194970120533e-06,-2.3322491659497016e-06,1.7473129857473086e-07,32
Output_0,7,0.24997496604919434,0.03241581579313411,0.007789134979248047,0.0007585524403632191,10,0.0025,5,rbf,"{'C': 10, 'epsilon': 0.0025, 'gamma': 5, 'kernel': 'rbf'}",-2.7361120228481313e-06,-2.3445601109422995e-06,-2.3986833730267948e-06,-2.622231231848471e-06,-2.283752416927099e-06,-2.477067831118559e-06,1.727712792804207e-07,34
Output_0,8,0.13868985176086426,0.00710540174531434,0.009809732437133789,0.0004220561891082678,10,0.005,1,rbf,"{'C': 10, 'epsilon': 0.005, 'gamma': 1, 'kernel': 'rbf'}",-1.2207020444261191e-05,-1.4435617134232487e-05,-1.3059675919434382e-05,-1.2094329217417553e-05,-1.3039144142713275e-05,-1.2967157371611776e-05,8.378249204239487e-07,60
Output_0,9,0.10907645225524902,0.010232441697637654,0.006146812438964843,0.0016500853410220408,10,0.005,2,rbf,"{'C': 10, 'epsilon': 0.005, 'gamma': 2, 'kernel': 'rbf'}",-9.580968343246642e-06,-1.0260330829923784e-05,-9.1405456901547e-06,-8.960668330392954e-06,-9.452644779270398e-06,-9.479031594597696e-06,4.482831785942794e-07,55
Output_0,10,0.0983510971069336,0.010467398875712726,0.0033845424652099608,0.0004966964685277667,10,0.005,4,rbf,"{'C': 10, 'epsilon': 0.005, 'gamma': 4, 'kernel': 'rbf'}",-8.130876064415183e-06,-8.275057058935484e-06,-6.678030996274601e-06,-7.015228583633242e-06,-7.233956300898431e-06,-7.4666298008313886e-06,6.284211679022521e-07,48
Output_0,11,0.10423407554626465,0.009213362974633951,0.0037841320037841795,0.0003960619138103665,10,0.005,5,rbf,"{'C': 10, 'epsilon': 0.005, 'gamma': 5, 'kernel': 'rbf'}",-8.396345030741324e-06,-8.024432528109354e-06,-7.0413608158561384e-06,-7.211658686670074e-06,-7.872890556673424e-06,-7.709337523610063e-06,5.083091339291581e-07,50
Output_0,12,0.36965441703796387,0.029752168226923278,0.02169804573059082,0.00482069196294745,15,0.001,1,rbf,"{'C': 15, 'epsilon': 0.001, 'gamma': 1, 'kernel': 'rbf'}",-7.609879437214974e-07,-9.799470507897175e-07,-8.861293945290524e-07,-7.331933053066204e-07,-7.698642081268559e-07,-8.260243804947487e-07,9.306568941552414e-08,19
Output_0,13,0.4402492046356201,0.043839903212791395,0.014008665084838867,0.0027932036003691808,15,0.001,2,rbf,"{'C': 15, 'epsilon': 0.001, 'gamma': 2, 'kernel': 'rbf'}",-6.361360937084449e-07,-6.876918693039203e-07,-6.539793067160185e-07,-5.455654832507218e-07,-5.27301150363528e-07,-6.101347806685267e-07,6.268032740862392e-08,10
Output_0,14,0.7096463203430176,0.03145652377416064,0.01545858383178711,0.0019208956221614024,15,0.001,4,rbf,"{'C': 15, 'epsilon': 0.001, 'gamma': 4, 'kernel': 'rbf'}",-7.174410519683076e-07,-6.639999684044751e-07,-6.647739418317661e-07,-6.868360508482035e-07,-6.294267562747692e-07,-6.724955538655044e-07,2.9025737696247557e-08,14
Output_0,15,0.8307894706726074,0.06206782452848739,0.018706035614013673,0.0013493524506629864,15,0.001,5,rbf,"{'C': 15, 'epsilon': 0.001, 'gamma': 5, 'kernel': 'rbf'}",-6.754659592838963e-07,-6.64247958505366e-07,-7.115150191534331e-07,-7.260247519129769e-07,-6.051532244481269e-07,-6.764813826607598e-07,4.223812265707069e-08,15
Output_0,16,0.2385550022125244,0.011276188426494693,0.0152191162109375,0.0023172593035306888,15,0.0025,1,rbf,"{'C': 15, 'epsilon': 0.0025, 'gamma': 1, 'kernel': 'rbf'}",-3.4619046840612823e-06,-4.028544370410204e-06,-3.4562762819396565e-06,-3.2518286772123568e-06,-3.368255490128064e-06,-3.5133619007503123e-06,2.6861686003937626e-07,39
Output_0,17,0.19874887466430663,0.018353007726971134,0.006582212448120117,0.0004892591234360791,15,0.0025,2,rbf,"{'C': 15, 'epsilon': 0.0025, 'gamma': 2, 'kernel': 'rbf'}",-2.3737394145700136e-06,-2.803082670169669e-06,-2.067007187147455e-06,-2.2250616751088006e-06,-2.3732198764510485e-06,-2.3684221646893976e-06,2.4510579955121586e-07,33
Output_0,18,0.23695836067199708,0.022118957561380173,0.006697893142700195,0.00076207468077593,15,0.0025,4,rbf,"{'C': 15, 'epsilon': 0.0025, 'gamma': 4, 'kernel': 'rbf'}",-2.3815435704361155e-06,-2.2678635043964013e-06,-2.1315041814766624e-06,-2.286403278159476e-06,-2.2812216460361728e-06,-2.2697072361009655e-06,8.002773117886767e-08,30
Output_0,19,0.26807246208190916,0.005875207077654517,0.006912422180175781,0.0021837221159036724,15,0.0025,5,rbf,"{'C': 15, 'epsilon': 0.0025, 'gamma': 5, 'kernel': 'rbf'}",-2.3652090523508856e-06,-2.120936644569718e-06,-2.3102638246139818e-06,-2.4610011094292e-06,-2.255274705803521e-06,-2.302537067353461e-06,1.1341144341447509e-07,31
